price,postcode,size,kamers,year
387500,5622KA,154,5,1960
385000,5645EL,106,5,1959
329000,5613KR,73,2,2014
549500,5629GN,117,4,1992
500000,5644LJ,134,6,1944
439000,5658HX,106,5,2012
750000,5632LE,279,8,1989
539000,5626BV,144,5,1977
359000,5627GE,100,4,1980
350000,5652VB,100,5,1955
300000,5642AN,78,4,1988
275000,5652VM,71,4,1957
995000,5644BE,194,5,1957
795000,5611LW,146,3,2005
375000,5653KH,127,5,1980
475000,5631KP,127,5,1962
525000,5612BJ,176,5,1970
415000,5627JT,106,6,1992
240000,5622GW,62,3,1961
350000,5627KK,110,5,1979
14000,5655JM,253,6,1977
359500,5624ES,108,5,1961
525000,5658HE,162,5,2002
395000,5652RL,118,5,1960
445000,5629NA,130,5,1998
465000,5641AM,117,5,1906
450000,5643JA,116,5,1938
289000,5623GL,73,3,1965
369500,5614HE,87,4,1918
609000,5611CZ,126,3,2002
387500,5622KA,154,5,1960
385000,5645EL,106,5,1959
329000,5613KR,73,2,2014
549500,5629GN,117,4,1992
500000,5644LJ,134,6,1944
439000,5658HX,106,5,2012
750000,5632LE,279,8,1989
539000,5626BV,144,5,1977
359000,5627GE,100,4,1980
350000,5652VB,100,5,1955
300000,5642AN,78,4,1988
275000,5652VM,71,4,1957
995000,5644BE,194,5,1957
795000,5611LW,146,3,2005
375000,5653KH,127,5,1980
475000,5631KP,127,5,1962
525000,5612BJ,176,5,1970
415000,5627JT,106,6,1992
240000,5622GW,62,3,1961
350000,5627KK,110,5,1979
14000,5655JM,253,6,1977
359500,5624ES,108,5,1961
525000,5658HE,162,5,2002
395000,5652RL,118,5,1960
445000,5629NA,130,5,1998
465000,5641AM,117,5,1906
450000,5643JA,116,5,1938
289000,5623GL,73,3,1965
369500,5614HE,87,4,1918
609000,5611CZ,126,3,2002
387500,5622KA,154,5,1960
385000,5645EL,106,5,1959
329000,5613KR,73,2,2014
549500,5629GN,117,4,1992
500000,5644LJ,134,6,1944
439000,5658HX,106,5,2012
750000,5632LE,279,8,1989
539000,5626BV,144,5,1977
359000,5627GE,100,4,1980
350000,5652VB,100,5,1955
300000,5642AN,78,4,1988
275000,5652VM,71,4,1957
995000,5644BE,194,5,1957
795000,5611LW,146,3,2005
375000,5653KH,127,5,1980
475000,5631KP,127,5,1962
525000,5612BJ,176,5,1970
415000,5627JT,106,6,1992
240000,5622GW,62,3,1961
350000,5627KK,110,5,1979
14000,5655JM,253,6,1977
359500,5624ES,108,5,1961
525000,5658HE,162,5,2002
395000,5652RL,118,5,1960
445000,5629NA,130,5,1998
465000,5641AM,117,5,1906
450000,5643JA,116,5,1938
289000,5623GL,73,3,1965
369500,5614HE,87,4,1918
609000,5611CZ,126,3,2002
387500,5622KA,154,5,1960
385000,5645EL,106,5,1959
329000,5613KR,73,2,2014
549500,5629GN,117,4,1992
500000,5644LJ,134,6,1944
439000,5658HX,106,5,2012
750000,5632LE,279,8,1989
539000,5626BV,144,5,1977
359000,5627GE,100,4,1980
350000,5652VB,100,5,1955
300000,5642AN,78,4,1988
275000,5652VM,71,4,1957
995000,5644BE,194,5,1957
795000,5611LW,146,3,2005
375000,5653KH,127,5,1980
475000,5631KP,127,5,1962
525000,5612BJ,176,5,1970
415000,5627JT,106,6,1992
240000,5622GW,62,3,1961
350000,5627KK,110,5,1979
14000,5655JM,253,6,1977
359500,5624ES,108,5,1961
525000,5658HE,162,5,2002
395000,5652RL,118,5,1960
445000,5629NA,130,5,1998
465000,5641AM,117,5,1906
450000,5643JA,116,5,1938
289000,5623GL,73,3,1965
369500,5614HE,87,4,1918
609000,5611CZ,126,3,2002
387500,5622KA,154,5,1960
385000,5645EL,106,5,1959
329000,5613KR,73,2,2014
549500,5629GN,117,4,1992
500000,5644LJ,134,6,1944
439000,5658HX,106,5,2012
750000,5632LE,279,8,1989
539000,5626BV,144,5,1977
359000,5627GE,100,4,1980
350000,5652VB,100,5,1955
300000,5642AN,78,4,1988
275000,5652VM,71,4,1957
995000,5644BE,194,5,1957
795000,5611LW,146,3,2005
375000,5653KH,127,5,1980
475000,5631KP,127,5,1962
525000,5612BJ,176,5,1970
415000,5627JT,106,6,1992
240000,5622GW,62,3,1961
350000,5627KK,110,5,1979
14000,5655JM,253,6,1977
359500,5624ES,108,5,1961
525000,5658HE,162,5,2002
395000,5652RL,118,5,1960
445000,5629NA,130,5,1998
465000,5641AM,117,5,1906
450000,5643JA,116,5,1938
289000,5623GL,73,3,1965
369500,5614HE,87,4,1918
609000,5611CZ,126,3,2002
387500,5622KA,154,5,1960
385000,5645EL,106,5,1959
329000,5613KR,73,2,2014
549500,5629GN,117,4,1992
500000,5644LJ,134,6,1944
439000,5658HX,106,5,2012
750000,5632LE,279,8,1989
539000,5626BV,144,5,1977
359000,5627GE,100,4,1980
350000,5652VB,100,5,1955
300000,5642AN,78,4,1988
275000,5652VM,71,4,1957
995000,5644BE,194,5,1957
795000,5611LW,146,3,2005
375000,5653KH,127,5,1980
475000,5631KP,127,5,1962
525000,5612BJ,176,5,1970
415000,5627JT,106,6,1992
240000,5622GW,62,3,1961
350000,5627KK,110,5,1979
14000,5655JM,253,6,1977
359500,5624ES,108,5,1961
525000,5658HE,162,5,2002
395000,5652RL,118,5,1960
445000,5629NA,130,5,1998
465000,5641AM,117,5,1906
450000,5643JA,116,5,1938
289000,5623GL,73,3,1965
369500,5614HE,87,4,1918
609000,5611CZ,126,3,2002
387500,5622KA,154,5,1960
385000,5645EL,106,5,1959
329000,5613KR,73,2,2014
549500,5629GN,117,4,1992
500000,5644LJ,134,6,1944
439000,5658HX,106,5,2012
750000,5632LE,279,8,1989
539000,5626BV,144,5,1977
359000,5627GE,100,4,1980
350000,5652VB,100,5,1955
300000,5642AN,78,4,1988
275000,5652VM,71,4,1957
995000,5644BE,194,5,1957
795000,5611LW,146,3,2005
375000,5653KH,127,5,1980
475000,5631KP,127,5,1962
525000,5612BJ,176,5,1970
415000,5627JT,106,6,1992
240000,5622GW,62,3,1961
350000,5627KK,110,5,1979
14000,5655JM,253,6,1977
359500,5624ES,108,5,1961
525000,5658HE,162,5,2002
395000,5652RL,118,5,1960
445000,5629NA,130,5,1998
465000,5641AM,117,5,1906
450000,5643JA,116,5,1938
289000,5623GL,73,3,1965
369500,5614HE,87,4,1918
609000,5611CZ,126,3,2002
387500,5622KA,154,5,1960
385000,5645EL,106,5,1959
329000,5613KR,73,2,2014
549500,5629GN,117,4,1992
500000,5644LJ,134,6,1944
439000,5658HX,106,5,2012
750000,5632LE,279,8,1989
539000,5626BV,144,5,1977
359000,5627GE,100,4,1980
350000,5652VB,100,5,1955
300000,5642AN,78,4,1988
275000,5652VM,71,4,1957
995000,5644BE,194,5,1957
795000,5611LW,146,3,2005
375000,5653KH,127,5,1980
475000,5631KP,127,5,1962
525000,5612BJ,176,5,1970
415000,5627JT,106,6,1992
240000,5622GW,62,3,1961
350000,5627KK,110,5,1979
