price,postcode,size,kamers,year
335000,3531KP,58,3,1930
450000,3522AB,67,3,1906
385000,3531WL,82,3,2000
350000,3551BH,61,3,1913
310000,3526BE,74,3,1963
479000,3581LR,76,3,1930
419000,3531HH,78,3,1906
375000,3532BS,89,6,1938
535000,3531VE,105,5,1933
639000,3573BS,111,5,1992
365000,3553GW,63,3,1917
425000,3553VP,96,4,1996
425000,3534PA,88,3,1947
425000,3552RG,70,3,1915
550000,3553GE,99,5,1919
489000,3525BH,96,4,1931
450000,3553GR,100,5,1930
650000,3573AV,132,5,1992
600000,3553EH,164,7,1920
199000,3531PV,24,2,1956
835000,3583AC,159,7,1913
285000,3531ST,49,3,1904
375000,3522RL,60,3,1925
415000,3524KX,92,4,1984
375000,3551GB,70,3,1906
569000,3522GA,118,6,1930
399500,3553AL,88,4,1930
780000,3523VN,200,6,1938
475000,3521GA,131,5,1935
575000,3522EM,118,5,1931
335000,3531KP,58,3,1930
450000,3522AB,67,3,1906
385000,3531WL,82,3,2000
350000,3551BH,61,3,1913
310000,3526BE,74,3,1963
479000,3581LR,76,3,1930
419000,3531HH,78,3,1906
375000,3532BS,89,6,1938
535000,3531VE,105,5,1933
639000,3573BS,111,5,1992
365000,3553GW,63,3,1917
425000,3553VP,96,4,1996
425000,3534PA,88,3,1947
425000,3552RG,70,3,1915
550000,3553GE,99,5,1919
489000,3525BH,96,4,1931
450000,3553GR,100,5,1930
650000,3573AV,132,5,1992
600000,3553EH,164,7,1920
199000,3531PV,24,2,1956
835000,3583AC,159,7,1913
285000,3531ST,49,3,1904
375000,3522RL,60,3,1925
415000,3524KX,92,4,1984
375000,3551GB,70,3,1906
569000,3522GA,118,6,1930
399500,3553AL,88,4,1930
780000,3523VN,200,6,1938
475000,3521GA,131,5,1935
575000,3522EM,118,5,1931
335000,3531KP,58,3,1930
450000,3522AB,67,3,1906
385000,3531WL,82,3,2000
350000,3551BH,61,3,1913
310000,3526BE,74,3,1963
479000,3581LR,76,3,1930
419000,3531HH,78,3,1906
375000,3532BS,89,6,1938
535000,3531VE,105,5,1933
639000,3573BS,111,5,1992
365000,3553GW,63,3,1917
425000,3553VP,96,4,1996
425000,3534PA,88,3,1947
425000,3552RG,70,3,1915
550000,3553GE,99,5,1919
489000,3525BH,96,4,1931
450000,3553GR,100,5,1930
650000,3573AV,132,5,1992
600000,3553EH,164,7,1920
199000,3531PV,24,2,1956
835000,3583AC,159,7,1913
285000,3531ST,49,3,1904
375000,3522RL,60,3,1925
415000,3524KX,92,4,1984
375000,3551GB,70,3,1906
569000,3522GA,118,6,1930
399500,3553AL,88,4,1930
780000,3523VN,200,6,1938
475000,3521GA,131,5,1935
575000,3522EM,118,5,1931
335000,3531KP,58,3,1930
450000,3522AB,67,3,1906
385000,3531WL,82,3,2000
350000,3551BH,61,3,1913
310000,3526BE,74,3,1963
479000,3581LR,76,3,1930
419000,3531HH,78,3,1906
375000,3532BS,89,6,1938
535000,3531VE,105,5,1933
639000,3573BS,111,5,1992
365000,3553GW,63,3,1917
425000,3553VP,96,4,1996
425000,3534PA,88,3,1947
425000,3552RG,70,3,1915
550000,3553GE,99,5,1919
489000,3525BH,96,4,1931
450000,3553GR,100,5,1930
650000,3573AV,132,5,1992
600000,3553EH,164,7,1920
199000,3531PV,24,2,1956
835000,3583AC,159,7,1913
285000,3531ST,49,3,1904
375000,3522RL,60,3,1925
415000,3524KX,92,4,1984
375000,3551GB,70,3,1906
569000,3522GA,118,6,1930
399500,3553AL,88,4,1930
780000,3523VN,200,6,1938
475000,3521GA,131,5,1935
575000,3522EM,118,5,1931
335000,3531KP,58,3,1930
450000,3522AB,67,3,1906
385000,3531WL,82,3,2000
350000,3551BH,61,3,1913
310000,3526BE,74,3,1963
479000,3581LR,76,3,1930
419000,3531HH,78,3,1906
375000,3532BS,89,6,1938
535000,3531VE,105,5,1933
639000,3573BS,111,5,1992
365000,3553GW,63,3,1917
425000,3553VP,96,4,1996
425000,3534PA,88,3,1947
425000,3552RG,70,3,1915
550000,3553GE,99,5,1919
489000,3525BH,96,4,1931
450000,3553GR,100,5,1930
650000,3573AV,132,5,1992
600000,3553EH,164,7,1920
199000,3531PV,24,2,1956
835000,3583AC,159,7,1913
285000,3531ST,49,3,1904
375000,3522RL,60,3,1925
415000,3524KX,92,4,1984
375000,3551GB,70,3,1906
569000,3522GA,118,6,1930
399500,3553AL,88,4,1930
780000,3523VN,200,6,1938
475000,3521GA,131,5,1935
575000,3522EM,118,5,1931
